2016/2017,2019,IS2109,2
17020018,C+,,
17020026,C-,,
17020034,C,,
17020042,C+,,
17020052,B,,
17020069,B-,,
17020077,B-,,
17020085,C+,,
17020093,B-,,
17020107,C,,
17020115,B,,
17020123,D+,,
17020131,A-,,
17020141,A,,
17020158,AB,,
17020166,AB,,
17020174,C,,
17020182,C-,,
17020192,B+,,
17020204,B-,,
17020212,C+,,
17020222,AB,,
17020239,B-,,
17020247,C,,
17020255,B,,
17020263,C+,,
17020271,C,,
17020281,D,,
17020301,B+,,
17020311,C+,,
17020328,B,,
17020336,B-,,
17020344,C+,,
17020352,B-,,
17020362,A,,
17020379,C+,,
17020387,B,,
17020395,D+,,
17020409,C,,
17020417,B,,
17020425,A-,,
17020433,B+,,
17020441,C+,,
17020451,C+,,
17020468,C+,,
17020476,B-,,
17020484,B-,,
17020492,C,,
17020522,A-,,
17020532,A,,
17020549,C+,,
17020557,C,,
17020565,A,,
17020573,B+,,
17020581,C+,,
17020591,C,,
17020603,C+,,
17020611,C+,,
17020621,B,,
17020638,E,,
17020646,B-,,
17020654,C+,,
17020662,B-,,
17020672,C-,,
17020689,A-,,
17020697,B-,,
17020702,B+,,
17020719,B+,,
17020727,D,,
17020735,C+,,
17020743,A,,
17020751,C-,,
17020761,C-,,
17020778,C+,,
17020786,C+,,
17020794,C,,
17020808,C+,,
17020816,C+,,
17020824,B+,,
17020832,B,,
17020842,A,,
17020859,AB,,
17020867,C+,,
17020875,B+,,
17020883,C+,,
17020891,B-,,
17020905,C,,
17020913,C+,,
17020931,C+,,
17020948,C,,
17020956,D,,
17020964,C,,
17020972,B,,
17020982,B-,,
17020999,C-,,
17021006,B,,
17021014,B+,,
17021022,B-,,
