2016/2017,2019,IS2104,1
17020018,B,,
17020026,E,,
17020034,A-,,
17020042,C-,,
17020052,A,,
17020069,A,,
17020077,C,,
17020085,B-,,
17020093,C,,
17020107,C,,
17020115,B,,
17020123,B-,,
17020131,A-,,
17020141,A,,
17020158,F,,
17020166,A-,,
17020174,C,,
17020182,C+,,
17020192,B+,,
17020204,A,,
17020212,B+,,
17020222,F,,
17020239,A-,,
17020247,B-,,
17020255,A,,
17020263,A-,,
17020271,A,,
17020281,A-,,
17020301,A,,
17020311,B-,,
17020328,A-,,
17020336,B+,,
17020344,A,,
17020352,A-,,
17020362,A,,
17020379,C+,,
17020387,A,,
17020395,B,,
17020409,C,,
17020417,B+,,
17020425,A,,
17020433,A,,
17020441,B-,,
17020451,D,,
17020468,B-,,
17020476,B-,,
17020484,B,,
17020492,C-,,
17020522,A,,
17020532,A,,
17020549,A-,,
17020557,C,,
17020565,A+,,
17020573,A,,
17020581,B-,,
17020591,B+,,
17020603,A,,
17020611,B-,,
17020621,A,,
17020638,E,,
17020646,B,,
17020654,A,,
17020662,A,,
17020672,B-,,
17020689,A,,
17020697,B-,,
17020702,A+,,
17020719,A,,
17020727,D+,,
17020735,A-,,
17020743,A,,
17020751,A,,
17020761,A,,
17020778,C,,
17020786,B,,
17020794,A-,,
17020808,B+,,
17020816,C+,,
17020824,A,,
17020832,B+,,
17020842,A,,
17020859,B-,,
17020867,B+,,
17020875,A-,,
17020883,C-,,
17020891,B,,
17020905,A,,
17020913,C-,,
17020931,B-,,
17020948,B-,,
17020956,C,,
17020964,C+,,
17020972,B,,
17020982,A-,,
17020999,D+,,
17021006,A-,,
17021014,A,,
17021022,C+,,
