2016/2017,2018,IS1113,2
17020018,C+,,
17020026,C,,
17020034,C+,,
17020042,C,,
17020052,C,,
17020069,C,,
17020077,C,,
17020085,B-,,
17020093,C,,
17020107,A,,
17020115,B,,
17020123,D,,
17020131,C,,
17020141,B,,
17020158,F,,
17020166,C+,,
17020174,D+,,
17020182,D+,,
17020192,B-,,
17020204,A-,,
17020212,B-,,
17020222,F,,
17020239,C,,
17020247,D,,
17020255,C+,,
17020263,B,,
17020271,D,,
17020281,D+,,
17020298,F,,
17020301,B+,,
17020311,B,,
17020328,C,,
17020336,B-,,
17020344,B-,,
17020352,C,,
17020362,C,,
17020379,C,,
17020387,C+,,
17020395,B-,,
17020409,C-,,
17020417,C-,,
17020425,C+,,
17020433,C,,
17020441,D,,
17020451,D+,,
17020468,C,,
17020476,C+,,
17020484,C-,,
17020492,C,,
17020506,F,,
17020514,F,,
17020522,C,,
17020532,A+,,
17020549,A,,
17020557,B-,,
17020565,B+,,
17020573,A-,,
17020581,A-,,
17020591,C+,,
17020603,B-,,
17020611,D+,,
17020621,B,,
17020638,B,,
17020646,C+,,
17020654,C+,,
17020662,F,,
17020672,B+,,
17020689,B,,
17020697,C+,,
17020702,A-,,
17020719,C,,
17020727,C,,
17020735,F,,
17020743,A,,
17020751,C+,,
17020761,B-,,
17020778,B,,
17020786,D+,,
17020794,B-,,
17020808,B+,,
17020816,C+,,
17020824,C,,
17020832,B-,,
17020842,A,,
17020859,C,,
17020867,C,,
17020875,C+,,
17020883,D+,,
17020891,C,,
17020905,C+,,
17020913,C,,
17020921,F,,
17020931,D,,
17020948,B-,,
17020956,C-,,
17020964,B+,,
17020972,B,,
17020982,C+,,
17020999,B,,
17021006,C-,,
17021014,B,,
17021022,B-,,
