2016/2017,2018,SCS1210,2
17000017,D+,,
17000025,B+,,
17000033,E,,
17000041,B-,,
17000051,C,,
17000068,B-,,
17000076,B,,
17000084,D,,
17000092,C,,
17000106,C,,
17000114,C,,
17000122,F,,
17000132,C+,,
17000149,C,,
17000157,D+,,
17000165,B-,,
17000173,C,,
17000181,C,,
17000191,A-,,
17000203,D+,,
17000211,C+,,
17000221,C+,,
17000238,B-,,
17000246,F,,
17000254,B-,,
17000262,B+,,
17000272,B,,
17000289,C+,,
17000297,B-,,
17000302,C,,
17000319,C,,
17000327,B,,
17000335,F,,
17000343,B-,,
17000351,A,,
17000361,A-,,
17000378,C+,,
17000386,F,,
17000394,A,,
17000408,C,,
17000416,B-,,
17000424,C,,
17000432,E,,
17000442,B-,,
17000459,B-,,
17000467,B-,,
17000475,B-,,
17000483,A-,,
17000491,D+,,
17000505,C-,,
17000513,D+,,
17000521,D+,,
17000531,C+,,
17000548,B+,,
17000556,C,,
17000564,A-,,
17000572,B+,,
17000582,B+,,
17000599,B,,
17000602,C-,,
17000612,B-,,
17000629,C+,,
17000637,D+,,
17000645,B-,,
17000653,D,,
17000661,C,,
17000671,C,,
17000688,C,,
17000696,C+,,
17000701,C,,
17000718,F,,
17000726,C,,
17000734,B,,
17000742,C-,,
17000752,B,,
17000769,B,,
17000777,B,,
17000785,D+,,
17000793,B-,,
17000807,C+,,
17000815,C,,
17000823,C,,
17000831,B,,
17000841,B+,,
17000858,B-,,
17000866,A,,
17000874,B,,
17000882,B,,
17000892,C-,,
17000904,C-,,
17000912,A,,
17000922,B,,
17000939,C,,
17000947,C+,,
17000955,C,,
17000963,B-,,
17000971,C,,
17000981,A-,,
17000998,B+,,
17001005,D,,
17001013,C,,
17001021,C,,
17001031,B,,
17001048,E,,
17001056,B-,,
17001064,D,,
17001072,B-,,
17001082,B,,
17001099,C,,
17001102,A,,
17001112,B-,,
17001129,B,,
17001137,C,,
17001145,D,,
17001153,C,,
17001161,C+,,
17001171,D,,
17001188,A-,,
17001196,B,,
17001201,B,,
17001218,F,,
17001226,C+,,
17001234,C+,,
17001242,B,,
17001252,B-,,
17001269,B,,
17001277,B,,
17001285,A-,,
17001293,A-,,
17001307,C,,
17001315,B-,,
17001323,A,,
17001331,C,,
17001341,B-,,
17001358,D+,,
17001366,C,,
17001374,B,,
17001382,B,,
17001392,F,,
17001404,C+,,
17001412,D+,,
17001422,C-,,
17001439,F,,
17001447,C+,,
17001455,C,,
17001463,C+,,
17001471,C,,
17001481,D+,,
17001498,A-,,
17001501,B-,,
17001511,B-,,
17001528,C+,,
17001536,F,,
17001544,D+,,
17001552,C,,
17001562,D+,,
17001579,C,,
17001587,C+,,
17001595,B,,
17001609,B-,,
17001617,C+,,
17001625,B,,
17001633,B-,,
17001641,D,,
17001651,B-,,
17001668,C,,
17001676,A-,,
17001684,B,,
17001692,C,,
17001706,D,,
17001714,C-,,
17001722,B+,,
17001732,C,,
17001749,B+,,
17001757,B-,,
17001765,C,,
17001773,C+,,
17001781,C-,,
17001791,B-,,
17001803,C,,
17001811,C,,
17001821,C-,,
17001838,B+,,
17001846,F,,
17001854,C,,
17001862,D+,,
17001872,C+,,
17001889,B-,,
17001897,D+,,
17001902,C+,,
17001919,C-,,
17001927,A-,,
17001935,C+,,
17001943,B-,,
17001951,A,,
17001961,C,,
17001978,C+,,
17001986,C,,
17001994,B,,
